iter	MultiClass
0	1.087780984
1	1.078177134
2	1.07180476
3	1.065711799
4	1.058336606
5	1.051379069
6	1.0467668
7	1.042677249
8	1.038690447
9	1.034274292
10	1.030849126
11	1.026732178
12	1.023968964
13	1.020260601
14	1.017213344
15	1.014323546
16	1.012043687
17	1.009587118
18	1.006343775
19	1.003732982
20	1.000535668
21	0.996637665
22	0.9943014901
23	0.9908471067
24	0.9889984437
25	0.9873382721
26	0.9851262978
27	0.982667491
28	0.9794411386
29	0.9769369266
30	0.9747534739
31	0.9733488166
32	0.9719882499
33	0.96948114
34	0.9675958131
35	0.9660287913
36	0.9644770756
37	0.9622286133
38	0.9613347603
39	0.9594720823
40	0.9577852906
41	0.9565567362
42	0.9554611385
43	0.9537686537
44	0.951514177
45	0.9492835757
46	0.9478095575
47	0.9459319165
48	0.9450725637
49	0.9433077232
50	0.9419457197
51	0.9400064682
52	0.9386323079
53	0.9371320937
54	0.935702008
55	0.9343331698
56	0.9330523219
57	0.9312339644
58	0.9300901145
59	0.9288765601
60	0.9278358354
61	0.926346728
62	0.924936685
63	0.9240844272
64	0.9230416963
65	0.9211440562
66	0.9196185181
67	0.9187844749
68	0.9177553415
69	0.9165531461
70	0.9153571664
71	0.9135928953
72	0.911940919
73	0.9104052967
74	0.9089560923
75	0.9067770547
76	0.9060123365
77	0.905076978
78	0.9043140307
79	0.9033073116
80	0.9014629164
81	0.9001855013
82	0.8992733354
83	0.8983335122
84	0.8970305017
85	0.8955305198
86	0.8945114091
87	0.8933078738
88	0.8920477799
89	0.8908940878
90	0.8897901581
91	0.8890806592
92	0.8883754264
93	0.8872801672
94	0.886007047
95	0.8846849547
96	0.8834493823
97	0.8815905641
98	0.8803575478
99	0.8792186326
100	0.8778247872
101	0.8769037115
102	0.8753059481
103	0.8736889971
104	0.872294567
105	0.8708263071
106	0.8702718657
107	0.8689918803
108	0.8676410811
109	0.8664378856
110	0.8653666313
111	0.8643524558
112	0.8628818601
113	0.8616142901
114	0.8602959126
115	0.8589724564
116	0.8578574259
117	0.8563310538
118	0.8551625058
119	0.8537045709
120	0.8524565681
121	0.8513743412
122	0.8501857688
123	0.8492059214
124	0.8479228003
125	0.8465823559
126	0.8453621474
127	0.8443371903
128	0.8431460594
129	0.8422773792
130	0.8407551712
131	0.839698969
132	0.8385948949
133	0.8372080043
134	0.8359357973
135	0.8349489764
136	0.8340162141
137	0.8327113149
138	0.8316837437
139	0.8306902395
140	0.8296787026
141	0.8286676841
142	0.8279328285
143	0.8272423925
144	0.8265031452
145	0.825305766
146	0.8242738638
147	0.8237006849
148	0.822653155
149	0.8219226568
150	0.8209406606
151	0.8204150758
152	0.8197617562
153	0.8189993444
154	0.8179826456
155	0.8172795311
156	0.8165575894
157	0.815874659
158	0.8148664311
159	0.8141751197
160	0.8132769181
161	0.8123244516
162	0.8114369494
163	0.8103234378
164	0.809494912
165	0.8085347069
166	0.807981593
167	0.8073085686
168	0.8069191902
169	0.8062429345
170	0.8055684141
171	0.8046127318
172	0.803622641
173	0.8026597497
174	0.8019856496
175	0.8013569199
176	0.8007550203
177	0.7999294608
178	0.7991873689
179	0.7986404943
180	0.7978072583
181	0.7972696743
182	0.7965142696
183	0.7955534247
184	0.7948414862
185	0.7941221971
186	0.7936519814
187	0.79295987
188	0.7922516975
189	0.7916011162
190	0.7909044823
191	0.7902157055
192	0.7894893939
193	0.7888938818
194	0.7880382443
195	0.787160856
196	0.7864615262
197	0.7857682694
198	0.7851957894
199	0.7845267956
200	0.7839011716
201	0.783176974
202	0.7824840649
203	0.7819855034
204	0.7812391193
205	0.7807429255
206	0.7802047181
207	0.7794098182
208	0.7787654635
209	0.7782649513
210	0.7777812292
211	0.7773473907
212	0.7767254954
213	0.7760059654
214	0.7754535353
215	0.7748918208
216	0.7742496882
217	0.773615844
218	0.7729633161
219	0.7723581384
220	0.7717777146
221	0.7712594993
222	0.7707118284
223	0.7702539771
224	0.76956074
225	0.7688827785
226	0.7683441249
227	0.7678837826
228	0.7674138368
229	0.7669890725
230	0.7663426044
231	0.765750093
232	0.7652105798
233	0.7647140338
234	0.7639753337
235	0.7631795304
236	0.7626616415
237	0.7621661347
238	0.7616802836
239	0.7613550194
240	0.7609956689
241	0.7605599507
242	0.7601491502
243	0.7594969694
244	0.7587457387
245	0.7581333791
246	0.7576927639
247	0.7569552792
248	0.7564952699
249	0.7558377293
250	0.7551235888
251	0.754771207
252	0.7543307754
253	0.7537802497
254	0.7532591144
255	0.7529270141
256	0.7523673586
257	0.7518426439
258	0.751377007
259	0.7511361836
260	0.7507676162
261	0.7503479867
262	0.7498575193
263	0.7494329533
264	0.7488324775
265	0.7479955605
266	0.7476423359
267	0.7471281758
268	0.7465880865
269	0.746302834
270	0.7455183113
271	0.7450768009
272	0.7445419739
273	0.7440224697
274	0.7437200263
275	0.7432828434
276	0.7426193131
277	0.7421525283
278	0.7418119564
279	0.7415174169
280	0.7411103137
281	0.7405716604
282	0.7400259731
283	0.7396187338
284	0.7392708019
285	0.7390144315
286	0.7387825308
287	0.7382522095
288	0.7377158845
289	0.7371680788
290	0.7369356878
